ch,keV,net,fit,model,continuum_raw,Ce-139,Esc-NaI,continuum
677,2012.048,0.000,-1.200,0.000,0.000,0.000,0.000,0.000
678,2015.047,1.900,1.900,0.000,0.000,0.000,0.000,0.000
679,2018.046,0.000,-0.967,0.000,0.000,0.000,0.000,0.000
680,2021.045,0.000,-1.200,0.000,0.000,0.000,0.000,0.000
681,2024.043,0.000,-0.167,0.000,0.000,0.000,0.000,0.000
682,2027.041,0.000,-1.033,0.000,0.000,0.000,0.000,0.000
683,2030.039,0.000,-0.867,0.000,0.000,0.000,0.000,0.000
684,2033.036,0.000,-0.867,0.000,0.000,0.000,0.000,0.000
685,2036.034,0.267,0.267,0.000,0.000,0.000,0.000,0.000
686,2039.031,0.100,0.100,0.000,0.000,0.000,0.000,0.000
687,2042.027,0.000,-0.367,0.000,0.000,0.000,0.000,0.000
688,2045.024,0.000,-1.167,0.000,0.000,0.000,0.000,0.000
