ch,keV,net,fit,model,continuum_raw,Na-22,Ann-511,pile-up
323,929.059,14323.284,14323.284,14231.367,1356.224,14140.900,0.000,90.468
324,931.966,14396.909,14396.909,14220.656,1327.910,14160.496,0.000,60.160
325,934.873,14349.659,14349.659,14248.038,1299.596,14180.641,0.000,67.397
326,937.780,14402.846,14402.846,14288.670,1271.282,14201.842,0.000,86.828
327,940.687,14232.909,14232.909,14307.804,1242.968,14224.591,0.000,83.213
328,943.594,14478.659,14478.659,14310.250,1214.655,14249.346,0.000,60.905
329,946.501,14928.065,14928.065,14335.938,1186.341,14276.530,0.000,59.408
330,949.409,14861.815,14861.815,14388.924,1158.027,14306.533,0.000,82.392
331,952.316,14600.190,14600.190,14419.748,1129.713,14339.665,0.000,80.083
332,955.224,14461.909,14461.909,14439.561,1101.399,14376.107,0.000,63.454
333,958.132,14607.815,14607.815,14469.838,1073.085,14415.912,0.000,53.926
334,961.040,15050.128,15050.128,14537.666,1044.771,14458.984,0.000,78.682
335,963.948,15278.659,15278.659,14558.967,1016.457,14505.052,0.000,53.915
336,966.856,15534.221,15534.221,14615.430,988.144,14553.593,0.000,61.838
337,969.764,15468.846,15468.846,14687.849,959.830,14603.888,0.000,83.962
338,972.673,15114.409,15114.409,14740.379,931.516,14654.958,0.000,85.421
339,975.581,14386.346,14386.346,14774.399,903.202,14705.547,0.000,68.853
340,978.490,15439.846,15439.846,14823.903,874.888,14754.131,0.000,69.772
341,981.399,15474.252,15474.252,14895.738,846.574,14798.932,0.000,96.806
342,984.307,15644.002,15644.002,14947.732,818.260,14837.914,0.000,109.818
343,987.216,15900.002,15900.002,14967.064,789.947,14868.782,0.000,98.281
344,990.125,15867.908,15867.908,14983.063,761.633,14889.019,0.000,94.044
345,993.035,14736.877,14736.877,15041.570,733.319,14895.932,0.000,145.638
