ch,keV,net,fit,model,continuum_raw,Na-22,Ann-511
959,2851.176,0.000,-0.775,0.000,0.000,0.000,0.000
960,2854.344,0.281,0.281,0.000,0.000,0.000,0.000
961,2857.514,0.225,0.225,0.000,0.000,0.000,0.000
962,2860.685,0.447,0.447,0.000,0.000,0.000,0.000
963,2863.858,0.502,0.502,0.000,0.000,0.000,0.000
964,2867.032,0.000,-0.609,0.000,0.000,0.000,0.000
965,2870.208,0.000,-0.443,0.000,0.000,0.000,0.000
966,2873.385,0.225,0.225,0.000,0.000,0.000,0.000
967,2876.564,0.000,-0.443,0.000,0.000,0.000,0.000
968,2879.744,1.502,1.502,0.000,0.000,0.000,0.000
969,2882.926,1.336,1.336,0.000,0.000,0.000,0.000
970,2886.109,0.000,-0.498,0.000,0.000,0.000,0.000
971,2889.294,0.000,-0.553,0.000,0.000,0.000,0.000
972,2892.480,0.000,-0.277,0.000,0.000,0.000,0.000
973,2895.668,0.000,-0.443,0.000,0.000,0.000,0.000
974,2898.858,0.000,-0.332,0.000,0.000,0.000,0.000
975,2902.049,0.000,-0.387,0.000,0.000,0.000,0.000
976,2905.242,0.000,-0.277,0.000,0.000,0.000,0.000
977,2908.436,0.000,-0.443,0.000,0.000,0.000,0.000
978,2911.632,0.336,0.336,0.000,0.000,0.000,0.000
979,2914.829,0.281,0.281,0.000,0.000,0.000,0.000
980,2918.028,0.000,-0.609,0.000,0.000,0.000,0.000
