ch,keV,net,model,continuum_raw,Tl-208,Ac-228,Pb-212,Bi-212,Ra-224,Th-228,Rn-220,Xray-Th,Xray-Pb,Xray-La
216,65.297,1391.340,2003.385,803.201,57.103,79.493,64.320,8.518,3.716,0.811,0.084,658.140,1131.178,0.000
217,65.638,1539.453,2019.033,804.697,57.531,80.117,65.569,8.580,3.750,0.830,0.085,668.930,1133.623,0.000
218,65.978,1623.600,2028.662,806.193,57.960,80.756,66.792,8.643,3.785,0.849,0.086,679.931,1129.843,0.000
219,66.318,1533.270,2032.271,807.690,58.388,81.408,67.963,8.706,3.822,0.870,0.086,691.107,1119.904,0.000
220,66.658,1583.868,2030.048,809.186,58.813,82.070,69.068,8.771,3.859,0.892,0.087,702.464,1104.008,0.000
221,66.998,1592.456,2022.320,810.683,59.236,82.742,70.096,8.835,3.898,0.915,0.088,714.016,1082.478,0.000
222,67.339,1559.170,2009.541,812.179,59.655,83.421,71.036,8.900,3.937,0.941,0.089,725.789,1055.758,0.000
223,67.679,1653.057,1992.232,813.675,60.070,84.105,71.879,8.965,3.978,0.968,0.089,737.778,1024.385,0.000
224,68.019,1709.128,1970.954,815.172,60.479,84.791,72.616,9.030,4.019,0.996,0.090,749.943,988.975,0.000
225,68.359,1844.984,1946.396,816.668,60.882,85.477,73.239,9.094,4.061,1.027,0.091,762.290,950.220,0.000
226,68.700,1925.911,1919.329,818.165,61.280,86.161,73.745,9.158,4.104,1.061,0.092,774.851,908.865,0.000
227,69.040,1894.253,1890.566,819.661,61.672,86.842,74.130,9.221,4.148,1.096,0.092,787.670,865.680,0.000
228,69.380,2047.622,1860.941,821.157,62.059,87.520,74.394,9.284,4.193,1.135,0.093,800.805,821.444,0.000
