ch,keV,net,model,continuum_raw,untied_tail,fit,tail,Cs-137,Backscatter,Xray-Pb-L,Xray-Pb,pile-up
172,58.480,123371.232,33591.290,12271.892,88394.657,123371.232,0.000,30345.172,425.903,0.000,2913.309,21.436
173,58.859,125011.096,31700.860,12191.519,90970.359,125011.096,0.000,28282.655,423.163,0.000,3088.263,21.298
174,59.237,123824.419,29973.214,12111.145,93406.572,123824.419,0.000,26364.671,420.418,0.000,3281.472,21.160
175,59.616,123980.961,28429.895,12030.772,95703.064,123980.961,0.000,24590.413,417.669,0.000,3495.372,21.022
176,59.994,124058.587,27062.982,11950.399,97854.657,124058.587,0.000,22957.575,414.917,0.000,3732.489,20.883
177,60.372,123803.697,25829.051,11870.026,99857.476,123803.697,0.000,21462.524,412.160,0.000,3995.644,20.745
178,60.751,124331.697,24756.610,11789.652,101714.843,124331.697,0.000,20100.464,409.401,0.000,4288.145,20.606
179,61.129,124136.794,23844.470,11709.279,103433.174,124136.794,0.000,18865.620,406.639,0.000,4613.735,20.467
180,61.508,124290.659,23089.401,11628.906,105019.341,124290.659,0.000,17751.448,403.875,0.000,4975.725,20.328
181,61.886,124354.375,22484.866,11548.532,106475.778,124354.375,0.000,16750.750,401.109,0.000,5374.778,20.188
182,62.264,124459.408,22023.307,11468.159,107804.825,124459.408,0.000,15855.878,398.341,0.000,5810.983,20.049
183,62.643,124965.569,21699.516,11387.786,109015.292,124965.569,0.000,15058.989,395.572,0.000,6286.973,19.910
184,63.021,125422.252,21508.293,11307.412,110117.243,125422.252,0.000,14352.105,392.803,0.000,6805.528,19.770
185,63.400,125176.349,21443.514,11227.039,111121.288,125176.349,0.000,13727.282,390.033,0.000,7369.010,19.631
186,63.778,125289.763,21487.704,11146.666,112029.214,125289.763,0.000,13176.734,387.262,0.000,7971.239,19.491
187,64.157,125893.157,21638.582,11066.292,112847.072,125893.157,0.000,12692.939,384.492,0.000,8608.806,19.352
188,64.535,125792.131,21882.738,10985.919,113584.038,125792.131,0.000,12268.764,381.722,0.000,9280.030,19.213
189,64.914,126469.996,22211.019,10905.546,114249.846,126469.996,0.000,11897.336,378.952,0.000,9982.632,19.073
190,65.292,127353.919,22614.163,10825.172,114852.181,127353.919,0.000,11572.399,376.182,0.000,10713.607,18.934
191,65.671,127221.435,23082.394,10744.799,115391.707,127221.435,0.000,11288.136,373.414,0.000,11468.994,18.794
192,66.050,128564.325,23605.948,10664.426,115872.463,128564.325,0.000,11039.238,370.646,0.000,12244.337,18.655
193,66.428,129146.435,24175.064,10584.053,116301.137,129146.435,0.000,10820.912,367.878,0.000,13034.670,18.516
194,66.807,129999.727,24779.916,10503.679,116684.979,129999.727,0.000,10628.866,365.112,0.000,13834.457,18.377
195,67.185,130928.681,25410.628,10423.306,117028.196,130928.681,0.000,10459.301,362.347,0.000,14637.624,18.237
196,67.564,131675.243,25978.706,10342.933,117330.613,131675.243,0.000,10308.909,359.583,0.000,15437.622,18.098
197,67.942,132415.404,26608.091,10262.559,117593.964,132415.404,0.000,10174.772,356.819,0.000,16227.544,17.959
198,68.321,134292.895,27257.503,10182.186,117823.195,134292.895,0.000,10054.364,354.057,0.000,17000.229,17.820
199,68.700,134316.128,27894.000,10101.813,118023.688,134316.128,0.000,9945.594,351.295,0.000,17748.358,17.681
200,69.078,136120.890,28508.435,10021.439,118198.720,136120.890,0.000,9846.676,348.535,0.000,18464.573,17.542
201,69.457,136439.452,29092.031,9941.066,118345.086,136439.452,0.000,9756.129,345.775,0.000,19141.577,17.403
202,69.836,138363.568,29636.534,9860.693,118464.355,138363.568,0.000,9672.742,343.015,0.000,19772.329,17.264
203,70.214,138974.925,30134.315,9780.319,118560.542,138974.925,0.000,9595.542,340.257,0.000,20350.170,17.126
204,70.593,140153.725,30578.505,9699.946,118638.423,140153.725,0.000,9523.809,337.499,0.000,20868.953,16.987
205,70.972,142009.518,30962.901,9619.573,118699.814,142009.518,0.000,9456.871,334.741,0.000,21323.148,16.848
206,71.350,142920.812,31261.824,9539.199,118740.353,142920.812,0.000,9394.350,331.983,0.000,21707.949,16.709
207,71.729,145359.572,31482.517,9458.826,118762.254,145359.572,0.000,9335.964,329.226,0.000,22019.463,16.570
208,72.108,146291.837,31660.565,9378.453,118768.975,146291.837,0.000,9281.555,326.468,0.000,22254.771,16.432
