ch,keV,net,model,continuum_raw,Ac-228,Tl-208,Pb-212,Bi-212,Ra-224,Th-228,Rn-220,Th-232,Xray-Pb,Xray-Th
1341,453.918,244.506,244.556,61.872,151.148,70.433,0.011,22.855,0.000,0.000,0.105,0.000,0.000,0.000
1342,454.265,253.357,245.459,61.731,152.121,70.383,0.011,22.837,0.000,0.000,0.105,0.000,0.000,0.000
1343,454.612,205.320,246.352,61.591,153.085,70.335,0.010,22.814,0.000,0.000,0.105,0.000,0.000,0.000
1344,454.958,204.173,247.233,61.450,154.038,70.291,0.009,22.787,0.000,0.000,0.105,0.000,0.000,0.000
1345,455.305,244.098,248.101,61.310,154.979,70.250,0.009,22.755,0.000,0.000,0.105,0.000,0.000,0.000
1346,455.651,231.987,248.955,61.169,155.907,70.213,0.008,22.719,0.000,0.000,0.105,0.000,0.000,0.000
1347,455.998,249.801,249.794,61.029,156.820,70.180,0.008,22.680,0.000,0.000,0.105,0.000,0.000,0.000
1348,456.345,247.763,250.615,60.888,157.715,70.150,0.007,22.635,0.000,0.000,0.104,0.000,0.000,0.000
1349,456.691,261.914,251.412,60.748,158.589,70.123,0.007,22.586,0.000,0.000,0.104,0.000,0.000,0.000
1350,457.038,256.616,252.185,60.607,159.441,70.099,0.006,22.533,0.000,0.000,0.104,0.000,0.000,0.000
1351,457.384,240.803,252.932,60.467,160.268,70.077,0.006,22.475,0.000,0.000,0.104,0.000,0.000,0.000
1352,457.731,223.506,253.652,60.326,161.070,70.057,0.005,22.413,0.000,0.000,0.104,0.000,0.000,0.000
