nucid;E_A;E_B;P;from_seq;z;a
214BI;304.200;1377.669;0.00838529712241;43;84;214
214BI;304.200;1543.320;0.000773329072071;43;84;214
214BI;304.200;1594.730;0.0482200582502;43;84;214
214BI;304.200;1661.280;0.0106063103561;43;84;214
214BI;304.200;1729.595;0.00295351499683;43;84;214
214BI;304.200;2204.210;0.876728331821;43;84;214
214BI;348.920;609.312;0.980027048747;16;84;214
214BI;348.920;806.174;0.988855597417;16;84;214
214BI;386.770;609.312;0.542421190332;16;84;214
214BI;386.770;768.356;0.545677995633;16;84;214
214BI;386.770;1377.669;0.444727566441;16;84;214
214BI;388.880;454.770;0.0158510748758;26;84;214
214BI;388.880;609.312;0.824951666148;26;84;214
214BI;388.880;665.453;0.0159569809031;26;84;214
214BI;388.880;768.356;0.00111779223449;26;84;214
214BI;388.880;1120.287;0.812875634657;26;84;214
214BI;388.880;1377.669;0.000911000671107;26;84;214
214BI;388.880;1729.595;0.156884997489;26;84;214
214BI;405.740;609.312;0.980027048747;2;84;214
214BI;454.770;609.312;0.980027048747;13;84;214
214BI;454.770;665.453;0.994243331113;13;84;214
214BI;469.760;609.312;0.542421190332;19;84;214
214BI;469.760;768.356;0.545677995633;19;84;214
214BI;469.760;1377.669;0.444727566441;19;84;214
214BI;474.410;454.770;0.0158510748758;31;84;214
214BI;474.410;609.312;0.824951666148;31;84;214
214BI;474.410;665.453;0.0159569809031;31;84;214
214BI;474.410;768.356;0.00111779223449;31;84;214
214BI;474.410;1120.287;0.812875634657;31;84;214
214BI;474.410;1377.669;0.000911000671107;31;84;214
214BI;474.410;1729.595;0.156884997489;31;84;214
214BI;665.453;609.312;0.980027048747;3;84;214
214BI;703.110;609.312;0.980027048747;26;84;214
214BI;703.110;806.174;0.988855597417;26;84;214
214BI;719.860;609.312;0.980027048747;22;84;214
214BI;719.860;665.453;0.994243331113;22;84;214
214BI;752.840;454.770;0.0158510748758;41;84;214
214BI;752.840;609.312;0.824951666148;41;84;214
214BI;752.840;665.453;0.0159569809031;41;84;214
214BI;752.840;768.356;0.00111779223449;41;84;214
214BI;752.840;1120.287;0.812875634657;41;84;214
214BI;752.840;1377.669;0.000911000671107;41;84;214
214BI;752.840;1729.595;0.156884997489;41;84;214
214BI;768.356;609.312;0.980027048747;5;84;214
214BI;786.100;609.312;0.227141724874;40;84;214
214BI;786.100;1051.960;0.229022602003;40;84;214
214BI;786.100;1661.280;0.765961879609;40;84;214
214BI;806.174;609.312;0.980027048747;6;84;214
214BI;821.180;609.312;0.227141724874;41;84;214
214BI;821.180;1051.960;0.229022602003;41;84;214
214BI;821.180;1661.280;0.765961879609;41;84;214
214BI;826.300;609.312;0.542421190332;31;84;214
214BI;826.300;768.356;0.545677995633;31;84;214
214BI;826.300;1377.669;0.444727566441;31;84;214
214BI;934.061;609.312;0.980027048747;7;84;214
214BI;964.080;348.920;0.00593808863214;56;84;214
214BI;964.080;386.770;0.0168536927353;56;84;214
214BI;964.080;609.312;0.111259780828;56;84;214
214BI;964.080;768.356;0.0106681595542;56;84;214
214BI;964.080;806.174;0.00783900276277;56;84;214
214BI;964.080;1155.190;0.0933502462905;56;84;214
214BI;964.080;1377.669;0.00869455003664;56;84;214
214BI;964.080;1764.494;0.873248328256;56;84;214
214BI;1051.960;609.312;0.980027048747;10;84;214
